problem,old_ms,new_ms,ratio,status,bucket,rayon,i128,u128,hashmap,pow_mod,already,next,confidence
244,14,10,1.4,OK,fast_no_action,False,False,False,True,False,,,
245,3079,800,3.85,OK,fast_playbook_residual,False,False,True,False,False,,u128 in Tonelli/SPRP; check if outer prime loop is independent,low
246,10,1,10.0,OK,fast_no_action,False,False,False,False,False,,,
247,74,66,1.12,OK,fast_no_action,False,False,False,False,False,,,
248,136,65,2.09,OK,fast_no_action,False,True,False,False,False,,,
249,592,329,1.8,OK,fast_no_action,False,False,False,False,False,,,
250,171,89,1.92,OK,fast_no_action,False,False,False,False,True,,,
251,414,33,12.55,OK,fast_no_action,True,False,False,False,False,,,
252,179,100,1.79,OK,fast_no_action,False,False,False,True,False,,,
253,10,1,10.0,OK,fast_no_action,False,False,False,False,False,,,
254,54,24,2.25,OK,fast_no_action,False,False,False,False,False,,,
255,944,299,3.16,OK,fast_no_action,False,False,False,False,False,,,
256,3804,1472,2.58,OK,sequential_hard,False,False,False,False,False,,shared counts[s] writes over 1e8; rayon needs atomics or huge thread locals (p410-like),med
257,333,180,1.85,OK,fast_no_action,False,False,False,False,False,,,
258,58,34,1.71,OK,fast_no_action,False,False,False,False,False,,,
259,3753,1352,2.78,OK,sequential_hard,False,True,False,False,False,,concat DP over digit splits with HashSet/Frac; true deps,med
260,389,210,1.85,OK,fast_no_action,False,False,False,False,False,,,
261,70,32,2.19,OK,fast_no_action,False,True,False,False,False,,,
262,141,105,1.34,OK,fast_no_action,False,False,False,False,False,,,
263,2307,17,135.71,OK,already_opt_fast,True,False,False,False,True,A/B w3 accept,wave3 accepted (90ms cand); old cache still 2.3s,high
264,86,44,1.95,OK,fast_no_action,False,False,False,False,False,,,
265,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
266,870,515,1.69,OK,fast_no_action,False,False,True,False,False,,,
267,10,1,10.0,OK,fast_no_action,False,False,False,False,False,,,
268,293,80,3.66,OK,fast_no_action,False,False,False,False,False,,,
269,36,18,2.0,OK,fast_no_action,False,False,False,True,False,,,
270,6,4,1.5,OK,fast_no_action,False,False,False,True,False,,,
271,3,1,3.0,OK,fast_no_action,False,True,False,False,False,,,
272,391,87,4.49,OK,fast_no_action,False,True,False,False,False,,,
273,331,194,1.71,OK,fast_no_action,False,True,False,False,False,,,
274,100,23,4.35,OK,fast_no_action,False,False,False,False,False,,,
275,2018,401,5.03,OK,already_opt_fast,True,False,False,True,False,,already rayon; HashMap grouping leftover,med
276,354,113,3.13,OK,fast_no_action,False,False,False,False,False,,,
277,10,1,10.0,OK,fast_no_action,False,True,False,False,False,,,
278,2,1,2.0,OK,fast_no_action,False,True,False,False,False,,,
279,1352,783,1.73,OK,fast_no_action,False,False,False,False,False,,,
280,244,118,2.07,OK,fast_no_action,False,False,False,False,False,,,
281,10,1,10.0,OK,fast_no_action,False,False,True,False,False,,,
282,1,1,1.0,OK,fast_no_action,False,False,False,False,True,,,
283,1530,285,5.37,OK,already_opt_fast,True,True,False,False,False,,already rayon; i128 only for isqrt overflow check,med
284,769,635,1.21,OK,fast_no_action,False,False,False,False,False,,,
285,12,2,6.0,OK,fast_no_action,False,False,False,False,False,,,
286,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
287,683,462,1.48,OK,fast_no_action,False,False,False,False,False,,,
288,45,31,1.45,OK,fast_no_action,False,True,False,False,False,,,
289,7,4,1.75,OK,fast_no_action,False,False,False,True,False,,,
290,20,11,1.82,OK,fast_no_action,False,False,False,False,False,,,
291,3439,947,3.63,OK,fast_playbook_residual,False,False,True,False,True,,u128 mulmod + euler_utils::mod_pow in prime loop; p < 2^32 likely,med
292,1414,565,2.5,OK,fast_no_action,False,False,False,True,False,,,
293,98,44,2.23,OK,fast_no_action,False,False,False,False,False,,,
294,15,12,1.25,OK,fast_no_action,False,False,False,False,True,,,
295,99,70,1.41,OK,fast_no_action,False,False,False,True,False,,,
296,1454,546,2.66,OK,fast_no_action,False,False,False,False,False,,,
297,10,1,10.0,OK,fast_no_action,False,False,False,True,False,,,
298,39,18,2.17,OK,fast_no_action,False,False,False,True,False,,,
299,909,549,1.66,OK,fast_no_action,False,False,False,False,False,,,
300,268,65,4.12,OK,fast_no_action,False,False,False,False,False,,,
301,10,1,10.0,OK,fast_no_action,False,False,False,False,False,,,
302,588,200,2.94,OK,fast_no_action,False,False,False,False,False,,,
303,263,107,2.46,OK,fast_no_action,False,False,True,False,False,,,
304,601,74,8.12,OK,fast_no_action,False,False,True,False,False,,,
305,17,4,4.25,OK,fast_no_action,False,False,False,False,False,,,
306,11,6,1.83,OK,fast_no_action,False,False,False,False,False,,,
307,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
308,141,58,2.43,OK,fast_no_action,False,False,False,False,False,,,
309,959,274,3.5,OK,fast_no_action,False,False,False,False,False,,,
310,143,87,1.64,OK,fast_no_action,False,False,False,False,False,,,
311,1608,641,2.51,OK,fast_playbook_residual,False,False,False,False,False,,"skim bicentric integer-sided; look for independent (m,n) loops",low
312,0,1,,OK,fast_no_action,False,False,False,False,True,,,
313,5,3,1.67,OK,fast_no_action,False,False,False,False,False,,,
314,4746,3159,1.5,OK,needs_refactor,False,False,False,False,False,,Drop MAX_STEP 15→5 to match c/314.c (~9× fewer edges) and re-check the printed 8 decimals.,med
315,109,62,1.76,OK,fast_no_action,False,False,False,False,False,,,
316,111,55,2.02,OK,fast_no_action,False,False,True,False,False,,,
317,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
318,3,1,3.0,OK,fast_no_action,False,False,False,False,False,,,
319,1114,544,2.05,OK,fast_no_action,False,False,False,False,True,,,
320,1794,445,4.03,OK,already_opt_fast,False,False,False,False,False,optimized=true,already marked optimized; factorial-exponent sum likely sequential,med
321,0,1,,OK,fast_no_action,False,False,False,False,False,,,
322,1058,783,1.35,OK,fast_no_action,False,False,False,False,False,,,
323,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
324,333,161,2.07,OK,fast_no_action,False,False,False,False,False,,,
325,1,1,1.0,OK,fast_no_action,False,False,True,False,True,,,
326,71,20,3.55,OK,fast_no_action,False,False,False,False,False,,,
327,0,1,,OK,fast_no_action,False,False,False,False,False,,,
328,3,3,1.0,OK,fast_no_action,False,False,False,False,False,,,
329,0,1,,OK,fast_no_action,False,True,True,False,False,,,
330,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
331,2187,1726,1.27,OK,needs_refactor,False,False,False,False,False,,look at lattice cross-count closed form vs brute,low
332,667,498,1.34,OK,fast_no_action,False,False,False,False,False,,,
333,209,141,1.48,OK,fast_no_action,False,False,False,False,False,,,
334,0,1,,OK,fast_no_action,False,True,False,False,False,,,
335,0,1,,OK,fast_no_action,False,False,False,False,True,,,
336,1149,687,1.67,OK,fast_no_action,False,False,False,False,False,,,
337,4178,2148,1.95,OK,sequential_hard,False,False,False,False,False,,Fenwick DP over 2e7; loop-carried like p410,high
338,2262,521,4.34,OK,already_opt_fast,True,True,False,False,False,optimized=true,rayon already 9.2s->2.3s; i128 only for MOD mul,high
339,970,580,1.67,OK,fast_no_action,False,False,False,False,False,,,
340,0,1,,OK,fast_no_action,False,True,False,False,False,,,
341,54,16,3.38,OK,fast_no_action,False,False,False,False,False,,,
342,4,2,2.0,OK,fast_no_action,False,False,False,False,False,,,
343,402,88,4.57,OK,fast_no_action,False,True,False,False,False,,,
344,853,267,3.19,OK,fast_no_action,False,True,False,False,True,,,
345,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
346,59,36,1.64,OK,fast_no_action,False,False,False,False,False,,,
347,66,22,3.0,OK,fast_no_action,False,False,False,False,False,,,
348,243,152,1.6,OK,fast_no_action,False,False,False,True,False,,,
349,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
350,79,29,2.72,OK,fast_no_action,False,False,True,False,True,,,
351,3865,1297,2.98,OK,sequential_hard,False,False,False,False,False,,"phi sieve 1e8; memory-bound, rayon on inner j would regress",high
352,284,166,1.71,OK,fast_no_action,False,False,False,False,False,,,
353,514,321,1.6,OK,fast_no_action,False,True,False,True,False,,,
354,1774,737,2.41,OK,fast_playbook_residual,False,False,False,False,False,,profiles memory-bound; check hex-lattice enumeration,low
355,16,9,1.78,OK,fast_no_action,False,False,False,False,False,,,
356,1,1,1.0,OK,fast_no_action,False,False,False,False,True,,,
357,1012,220,4.6,OK,fast_no_action,True,False,False,False,False,,,
358,0,1,,OK,fast_no_action,False,False,False,False,True,,,
359,58,13,4.46,OK,fast_no_action,False,True,False,False,False,,,
360,811,315,2.57,OK,fast_no_action,False,True,False,False,False,,,
361,1,1,1.0,OK,fast_no_action,False,False,False,True,True,,,
362,3390,1134,2.99,OK,needs_refactor,False,False,False,True,False,,HashMap qmap in squarefree-count recursion; Vec/index if bounded,med
363,10,8,1.25,OK,fast_no_action,False,False,False,False,False,,,
364,144,49,2.94,OK,fast_no_action,False,False,False,False,True,,,
365,535,65,8.23,OK,fast_no_action,True,True,False,False,False,,,
366,1,0,,OK,fast_no_action,False,False,False,False,False,,,
367,6,1,6.0,OK,fast_no_action,False,False,False,True,False,,,
368,72,29,2.48,OK,fast_no_action,False,False,False,False,False,,,
369,552,539,1.02,OK,fast_no_action,False,False,False,False,False,,,
370,6739,1840,3.66,OK,already_opt_still_slow,True,False,False,False,False,,already parallel; stack factor list leftover only,med
371,0,1,,OK,fast_no_action,False,False,False,False,False,,,
