problem,old_ms,xt_ms,now_ms,status,old_to_now,xt_to_now
378,10061.0,5367.0,714.6,OK,14.08,7.51
379,7827.0,3215.0,1138.0,OK,6.88,2.83
380,6.0,1.0,1.5,OK,4.0,0.67
381,770.0,173.0,181.9,OK,4.23,0.95
382,1.0,1.0,1.1,OK,0.91,0.91
383,1.0,1.0,1.1,OK,0.91,0.91
384,12.0,6.0,6.9,OK,1.74,0.87
385,5.0,1.0,1.1,OK,4.55,0.91
386,1551.0,873.0,17.1,OK,90.70,51.05
387,452.0,101.0,105.9,OK,4.27,0.95
388,352.0,113.0,115.7,OK,3.04,0.98
389,0.0,1.0,1.2,OK,,0.83
390,101.0,21.0,22.6,OK,4.47,0.93
391,175.0,18.0,19.4,OK,9.02,0.93
392,1.0,1.0,1.5,OK,0.67,0.67
393,25.0,18.0,18.1,OK,1.38,0.99
394,1.0,1.0,1.1,OK,0.91,0.91
395,1.0,1.0,1.2,OK,0.83,0.83
396,5.0,2.0,2.4,OK,2.08,0.83
397,3462.0,771.0,65.0,OK,53.26,11.86
398,525.0,322.0,2.2,OK,238.64,146.36
399,3344.0,1172.0,41.1,OK,81.36,28.52
400,207.0,162.0,169.7,OK,1.22,0.95
401,1279.0,72.0,75.9,OK,16.85,0.95
402,134.0,46.0,48.3,OK,2.77,0.95
403,81.0,39.0,40.0,OK,2.02,0.97
404,2694.0,69.0,74.3,OK,36.26,0.93
405,0.0,0.0,1.0,OK,,
406,120.0,71.0,79.1,OK,1.52,0.9
407,923.0,114.0,129.5,OK,7.13,0.88
408,933.0,574.0,264.0,OK,3.53,2.17
409,46.0,41.0,42.8,OK,1.07,0.96
410,2747.0,1006.0,107.7,OK,25.51,9.34
411,2977.0,1482.0,950.0,OK,3.13,1.56
412,19.0,12.0,12.1,OK,1.57,0.99
413,1108.0,631.0,678.1,OK,1.63,0.93
414,3491.0,2619.0,132.0,OK,26.45,19.84
415,7278.0,3215.0,163.5,OK,44.51,19.66
416,5054.0,1327.0,113.5,OK,44.53,11.69
417,6755.0,988.0,166.1,OK,40.67,5.95
418,564.0,360.0,370.4,OK,1.52,0.97
419,49.0,15.0,16.3,OK,3.01,0.92
420,3633.0,1072.0,24.0,OK,151.38,44.67
421,5862.0,469.0,494.5,OK,11.85,0.95
422,10.0,0.0,1.2,OK,8.33,
423,1827.0,719.0,742.3,OK,2.46,0.97
424,590.0,95.0,97.0,OK,6.08,0.98
425,266.0,109.0,114.2,OK,2.33,0.95
426,234.0,119.0,120.1,OK,1.95,0.99
427,8247.0,1958.0,367.0,OK,22.47,5.34
428,3732.0,2036.0,106.5,OK,35.04,19.12
429,452.0,167.0,168.3,OK,2.69,0.99
430,156.0,86.0,89.8,OK,1.74,0.96
431,21.0,8.0,8.3,OK,2.53,0.96
432,1580.0,506.0,142.2,OK,11.11,3.56
433,5426.0,1892.0,74.9,OK,72.44,25.26
434,662.0,169.0,171.2,OK,3.87,0.99
435,14.0,2.0,2.5,OK,5.6,0.8
436,1.0,0.0,1.0,OK,1.0,
437,5792.0,2050.0,426.0,OK,13.60,4.81
438,378.0,122.0,123.5,OK,3.06,0.99
439,3364.0,942.0,976.0,OK,3.45,0.97
440,422.0,332.0,343.4,OK,1.23,0.97
441,454.0,83.0,92.9,OK,4.89,0.89
442,24.0,13.0,13.6,OK,1.76,0.96
443,1265.0,235.0,242.3,OK,5.22,0.97
444,9.0,1.0,1.2,OK,7.5,0.83
445,6383.0,1428.0,274.7,OK,23.24,5.20
446,2797.0,710.0,299.3,OK,9.35,2.37
447,3284.0,1154.0,184.9,OK,17.76,6.24
448,9138.0,3563.0,553.0,OK,16.52,6.44
449,10.0,1.0,1.2,OK,8.33,0.83
450,550.0,89.0,93.6,OK,5.88,0.95
451,2960.0,994.0,194.1,OK,15.25,5.12
452,3585.0,2004.0,106.0,OK,33.82,18.91
453,100.0,11.0,11.8,OK,8.47,0.93
454,1186.0,555.0,48.0,OK,24.71,11.56
455,3029.0,38.0,40.4,OK,74.98,0.94
456,779.0,264.0,278.3,OK,2.8,0.95
457,1011.0,322.0,334.4,OK,3.02,0.96
458,10.0,1.0,1.2,OK,8.33,0.83
459,5554.0,3352.0,599.8,OK,9.26,5.59
460,256.0,154.0,157.4,OK,1.63,0.98
461,7872.0,4092.0,964.2,OK,8.16,4.24
462,12.0,2.0,2.4,OK,5.0,0.83
463,2.0,1.0,1.1,OK,1.82,0.91
464,2995.0,4113.0,1151.0,OK,2.60,3.57
465,4586.0,1497.0,960.1,OK,4.78,1.56
466,1150.0,353.0,4.8,OK,239.58,73.54
467,450.0,198.0,202.4,OK,2.22,0.98
468,6791.0,5044.0,233.0,OK,29.15,21.65
469,10.0,1.0,1.1,OK,9.09,0.91
470,1915.0,1053.0,28.0,OK,68.39,37.61
471,3.0,1.0,1.0,OK,3.0,1.0
472,1.0,1.0,1.0,OK,1.0,1.0
473,2.0,1.0,1.0,OK,2.0,1.0
474,7.0,3.0,4.1,OK,1.71,0.73
475,696.0,176.0,175.9,OK,3.96,1.0
476,4755.0,697.0,121.7,OK,39.07,5.73
477,1325.0,436.0,281.0,OK,4.72,1.55
478,3672.0,2284.0,269.1,OK,13.65,8.49
479,150.0,123.0,127.2,OK,1.18,0.97
480,55.0,15.0,15.1,OK,3.64,0.99
481,70.0,45.0,47.7,OK,1.47,0.94
482,5435.0,752.0,164.2,OK,33.10,4.58
483,3696.0,2518.0,658.0,OK,5.62,3.83
484,2571.0,780.0,188.0,OK,13.68,4.15
485,2052.0,861.0,87.2,OK,23.53,9.87
486,2313.0,32.0,37.3,OK,62.01,0.86
487,522.0,171.0,177.4,OK,2.94,0.96
488,9.0,1.0,1.2,OK,7.5,0.83
489,296.0,102.0,107.9,OK,2.74,0.95
490,197.0,108.0,113.8,OK,1.73,0.95
491,11.0,2.0,2.1,OK,5.24,0.95
492,518.0,48.0,53.3,OK,9.72,0.9
493,10.0,1.0,0.9,OK,11.11,1.11
494,1180.0,809.0,26.1,OK,45.21,31.0
495,584.0,357.0,437.6,OK,1.33,0.82
496,41.0,16.0,20.7,OK,1.98,0.77
497,5.0,3.0,3.9,OK,1.28,0.77
498,2.0,1.0,1.3,OK,1.54,0.77
499,1.0,1.0,1.0,OK,1.0,1.0
500,68.0,33.0,35.5,OK,1.92,0.93
501,5175.0,1540.0,608.0,OK,8.51,2.53
502,1547.0,773.0,136.6,OK,11.33,5.66
503,27.0,15.0,16.2,OK,1.67,0.93
504,134.0,73.0,79.0,OK,1.7,0.92
505,6874.0,4299.0,487.6,OK,14.10,8.82
506,12.0,2.0,2.3,OK,5.22,0.87
507,7398.0,928.0,951.7,OK,7.77,0.98
508,16.0,6.0,6.6,OK,2.42,0.91
509,2.0,1.0,1.5,OK,1.33,0.67
510,56.0,23.0,22.5,OK,2.49,1.02
511,731.0,177.0,181.5,OK,4.03,0.98
512,213.0,61.0,62.7,OK,3.4,0.97
513,9051.0,987.0,548.7,OK,16.50,1.80
514,89.0,57.0,59.0,OK,1.51,0.97
515,156.0,78.0,81.8,OK,1.91,0.95
516,115.0,31.0,33.0,OK,3.48,0.94
517,261.0,108.0,112.3,OK,2.32,0.96
518,2873.0,1312.0,33.5,OK,85.76,39.16
519,71.0,22.0,22.0,OK,3.23,1.0
520,56.0,28.0,28.7,OK,1.95,0.98
521,5756.0,1685.0,331.7,OK,17.35,5.08
522,1063.0,798.0,112.7,OK,9.43,7.08
523,9.0,1.0,1.1,OK,8.18,0.91
524,3.0,1.0,1.1,OK,2.73,0.91
525,165.0,106.0,110.8,OK,1.49,0.96
526,2394.0,620.0,15.3,OK,156.47,40.52
527,3.0,1.0,1.0,OK,3.0,1.0
528,18.0,7.0,7.8,OK,2.31,0.9
529,2838.0,844.0,259.9,OK,10.92,3.25
530,1459.0,277.0,286.2,OK,5.1,0.97
531,2445.0,38.0,38.9,OK,62.85,0.98
532,13.0,7.0,7.3,OK,1.78,0.96
533,1646.0,587.0,605.7,OK,2.72,0.97
534,6556.0,912.0,959.7,OK,6.83,0.95
535,231.0,81.0,85.0,OK,2.72,0.95
536,8526.0,2570.0,266.0,OK,32.05,9.66
537,524.0,192.0,199.3,OK,2.63,0.96
538,3538.0,1610.0,58.2,OK,60.79,27.66
539,3.0,1.0,1.2,OK,2.5,0.83
540,6993.0,1311.0,47.7,OK,146.60,27.48
541,204.0,60.0,61.9,OK,3.3,0.97
542,1359.0,846.0,6.8,OK,199.85,124.41
543,7368.0,2348.0,20.8,OK,354.23,112.88
544,2061.0,451.0,461.9,OK,4.46,0.98
545,1642.0,352.0,300.9,OK,5.46,1.17
546,20.0,14.0,15.2,OK,1.32,0.92
547,17.0,8.0,8.4,OK,2.02,0.95
548,3949.0,574.0,75.3,OK,52.44,7.62
549,31.0,12.0,11.8,OK,2.63,1.02
550,970.0,396.0,397.8,OK,2.44,1.0
551,6.0,2.0,3.4,OK,1.76,0.59
552,8468.0,2877.0,909.9,OK,9.31,3.16
553,836.0,640.0,42.2,OK,19.81,15.17
554,1339.0,680.0,4.7,OK,284.89,144.68
555,24.0,13.0,13.4,OK,1.79,0.97
556,1087.0,465.0,59.7,OK,18.21,7.79
557,5324.0,98.0,98.2,OK,54.22,1.0
558,2357.0,266.0,264.2,OK,8.92,1.01
559,7090.0,5518.0,874.7,OK,8.11,6.31
560,748.0,245.0,253.6,OK,2.95,0.97
561,13.0,1.0,1.2,OK,10.83,0.83
562,372.0,225.0,226.3,OK,1.64,0.99
563,3144.0,828.0,854.7,OK,3.68,0.97
564,564.0,224.0,253.4,OK,2.23,0.88
