problem,time_ms,ipc,cache_miss_pct,branch_miss_pct,llc_misses,l1_misses,classification,top_func,top_func_pct
632,2277,0.67,73.4,3.8,83798197,184585309,MEMORY-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
628,2192,1.04,21.1,0.2,30,3032,MODERATE-IPC,,0.0
331,2187,3.30,22.2,0.5,48,2058,COMPUTE-EFFICIENT,,0.0
564,2090,1.66,3.9,1.6,1476,1239776,COMPUTE-BOUND,,0.0
615,2089,2.21,17.3,0.1,1513670,68152357,COMPUTE-BOUND,,0.0
576,2081,1.23,23.9,6.0,938841,62761961,MODERATE-IPC | BRANCH-HEAVY,,0.0
533,2073,0.30,72.1,0.6,76616614,161722707,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
544,2061,2.00,49.9,0.5,18699055,58248221,COMPUTE-BOUND | HIGH-CACHE-MISS,,0.0
798,2056,0.92,68.9,0.0,4196224,61205623,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
485,2052,1.19,76.6,4.1,222053,70582541,MODERATE-IPC | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
492,2044,0.90,35.4,1.6,6410,12574348,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
630,2041,0.35,60.9,5.4,17251578,56955216,MEMORY-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
893,2040,3.68,5.2,0.2,33580,436665402,COMPUTE-EFFICIENT,,0.0
780,2038,1.19,32.6,1.3,87185,1216830,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
275,2018,1.25,0.7,2.5,904677,626720561,MODERATE-IPC,,0.0
357,2014,0.74,85.8,0.5,467535,104580424,STALLED | HIGH-CACHE-MISS,,0.0
766,2012,1.80,54.4,3.2,2553816,18690925,COMPUTE-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
413,2003,1.34,7.0,4.0,380945,23838107,MODERATE-IPC | BRANCH-HEAVY,,0.0
672,2000,1.40,47.6,1.1,0,0,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
801,1977,0.37,83.7,1.0,3682310,119714484,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
251,1949,0.60,27.2,3.3,358,2700,STALLED | BRANCH-HEAVY,,0.0
470,1915,1.52,48.0,6.3,80050,9621936,COMPUTE-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
401,1910,0.99,20.6,0.2,148,6502,MODERATE-IPC,,0.0
772,1889,0.43,85.2,0.9,197140,103455177,STALLED | HIGH-CACHE-MISS,,0.0
609,1885,0.67,85.6,0.6,469914,110408380,STALLED | HIGH-CACHE-MISS,,0.0
733,1877,0.41,57.0,0.5,60264666,152655900,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
423,1827,0.73,86.5,0.7,16049235,114559583,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
569,1800,0.60,82.7,3.2,191365,107729399,STALLED | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
320,1794,0.34,28.3,1.5,292869,6965648,STALLED,,0.0
424,1779,2.91,10.0,0.4,2394,366507,COMPUTE-EFFICIENT,,0.0
354,1774,0.71,79.6,3.4,36274541,70227438,MEMORY-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
675,1767,0.75,71.0,1.9,18053336,75291288,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
952,1755,0.55,73.2,4.0,8942695,17629550,MEMORY-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
738,1716,2.19,48.8,0.1,3202094,16483624,COMPUTE-BOUND | HIGH-CACHE-MISS,,0.0
570,1704,0.88,8.5,2.0,2147,125881,MODERATE-IPC,,0.0
477,1703,1.23,70.9,2.2,223518,12589596,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
820,1643,0.27,64.1,0.3,44984,2582079,STALLED | HIGH-CACHE-MISS,,0.0
828,1638,2.50,0.4,2.2,1977,27923971,COMPUTE-BOUND,,0.0
311,1608,2.27,40.7,0.2,15173733,60515641,COMPUTE-BOUND | HIGH-CACHE-MISS,,0.0
939,1607,1.78,11.0,0.0,1601371,86353188,COMPUTE-BOUND,,0.0
818,1604,2.91,4.7,0.0,1802,3297268,COMPUTE-EFFICIENT,,0.0
944,1595,0.74,8.4,2.1,2829,157145,STALLED,,0.0
381,1593,0.40,85.5,1.4,225437,103932851,STALLED | HIGH-CACHE-MISS,,0.0
943,1589,1.60,42.6,0.7,8316605,66671259,COMPUTE-BOUND | HIGH-CACHE-MISS,,0.0
386,1581,2.88,10.4,0.2,498425,35309713,COMPUTE-EFFICIENT,,0.0
432,1580,1.85,19.1,0.0,5762810,78340676,COMPUTE-BOUND,,0.0
658,1579,1.15,78.7,0.2,12725121,33483189,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
621,1569,0.27,77.9,5.5,10221085,41920234,MEMORY-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
747,1553,2.06,11.9,0.0,282,2354,COMPUTE-BOUND,,0.0
502,1547,3.44,0.0,0.0,513,150657234,COMPUTE-EFFICIENT,,0.0
823,1536,1.55,0.0,2.8,1891,663753166,COMPUTE-BOUND,,0.0
283,1530,1.02,66.0,1.6,21848143,42233708,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
789,1527,0.94,30.0,0.5,543616,9729572,MODERATE-IPC,,0.0
450,1521,1.54,60.8,0.2,3199218,13068269,COMPUTE-BOUND | HIGH-CACHE-MISS,,0.0
530,1459,0.78,70.2,0.4,95156,28737398,STALLED | HIGH-CACHE-MISS,,0.0
296,1454,1.20,25.0,1.6,380,3373,MODERATE-IPC,,0.0
644,1447,1.57,27.4,1.2,13702293,191389653,COMPUTE-BOUND,,0.0
678,1436,1.09,22.7,1.2,3009689,186486625,MODERATE-IPC,,0.0
292,1414,1.15,27.1,1.9,10101135,80276442,MODERATE-IPC,,0.0
815,1400,0.73,66.9,0.2,11144046,44723151,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
602,1360,0.84,54.7,0.2,1909887,6269495,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
542,1359,2.24,13.9,0.4,126,24578,COMPUTE-BOUND,,0.0
279,1352,0.71,20.5,20.2,4,2323,STALLED | BRANCH-HEAVY,,0.0
717,1350,0.58,29.1,3.4,4086,8575472,STALLED | BRANCH-HEAVY,,0.0
709,1348,3.27,0.0,0.0,168,150878226,COMPUTE-EFFICIENT,,0.0
756,1342,0.64,81.3,0.4,11855244,29992538,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
854,1342,0.85,37.5,2.5,6085192,34837017,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
554,1339,0.83,4.4,0.0,2351,172005,MODERATE-IPC,,0.0
443,1265,0.73,16.4,0.2,401,3699,STALLED,,0.0
373,1248,1.67,66.2,2.1,8811964,25526019,COMPUTE-BOUND | HIGH-CACHE-MISS,,0.0
967,1216,1.69,0.6,0.4,4686,89311499,COMPUTE-BOUND,,0.0
781,1198,2.50,0.1,0.0,1704,77578538,COMPUTE-BOUND,,0.0
840,1195,1.01,4.4,0.7,119061,19181502,MODERATE-IPC,,0.0
454,1186,1.38,1.6,0.1,411,4247299,MODERATE-IPC,,0.0
494,1180,2.83,17.5,0.8,3594,77012,COMPUTE-EFFICIENT,,0.0
